name,type,rarity,vendor_value,id,icon,level,item_type,item_weight_class
Strong Worn Scale Boots,Armor,Fine,45,83,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,51,Boots,Heavy
Zhed's Coat,Armor,Exotic,396,84,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,80,Coat,Light
Carrion Seer Coat of Rage,Armor,Exotic,324,85,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,63,Coat,Light
Carrion Sneakthief Mask of Grenth,Armor,Exotic,270,86,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,63,Helm,Medium
Strong Worn Scale Boots,Armor,Fine,49,87,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,56,Boots,Heavy
Carrion Seer Coat of the Centaur,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,71,Coat,Light
Carrion Sneakthief Mask of Balthazar,Armor,Exotic,295,89,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,71,Helm,Medium
Berserker's Reinforced Scale Boots,Armor,Fine,52,90,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,61,Boots,Heavy
Carrion Seer Coat of the Afflicted,Armor,Exotic,390,91,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,79,Coat,Light
Carrion Sneakthief Mask of the Flame Legion,Armor,Exotic,325,92,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,79,Helm,Medium
Shiro's Mask,Armor,Exotic,330,93,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,80,Helm,Medium
Ogden's Coat,Armor,Exotic,396,94,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,80,Coat,Light
Berserker's Reinforced Scale Boots,Armor,Fine,56,95,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,66,Boots,Heavy
Rampager's Sneakthief Mask of the Citadel,Armor,Exotic,270,96,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,64,Helm,Medium
Rampager's Seer Coat of the Traveler,Armor,Exotic,324,97,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,64,Coat,Light
Berserker's Reinforced Scale Boots,Armor,Fine,59,98,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,71,Boots,Heavy
Mighty Studded Boots,Armor,Basic,5,99,https://render.guildwars2.com/file/C05DCA62E84D18EF46D5357C217956C55BC3063E/61013.png,0,Boots,Medium
Rampager's Seer Coat of Divinity,Armor,Exotic,360,100,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,72,Coat,Light
Rampager's Sneakthief Mask of the Traveler,Armor,Exotic,300,101,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,72,Helm,Medium
Berserker's Reinforced Scale Boots,Armor,Fine,63,102,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,76,Boots,Heavy
Aidan's Mask,Armor,Exotic,330,103,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,80,Helm,Medium
Norgu's Coat,Armor,Exotic,396,104,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,80,Coat,Light
Shaman's Seer Coat of the Flame Legion,Armor,Exotic,330,105,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,65,Coat,Light
Berserker's Sneakthief Coat of the Dolyak,Armor,Exotic,318,106,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,62,Coat,Medium
Shaman's Sneakthief Mask of the Grove,Armor,Exotic,275,107,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,65,Helm,Medium
Shaman's Seer Coat of Divinity,Armor,Exotic,366,108,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,73,Coat,Light
Shaman's Sneakthief Mask of Melandru,Armor,Exotic,305,109,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,73,Helm,Medium
Berserker's Reinforced Scale Boots,Armor,Fine,66,110,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,80,Boots,Heavy
Tahlkora's Coat,Armor,Exotic,396,111,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,80,Coat,Light
Berserker's Sneakthief Coat of the Centaur,Armor,Exotic,354,112,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,70,Coat,Medium
Cleric's Seer Coat of the Eagle,Armor,Exotic,336,113,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,66,Coat,Light
Mighty Worn Chain Greaves,Armor,Fine,20,114,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,16,Boots,Heavy
Reyna's Mask,Armor,Exotic,330,115,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,80,Helm,Medium
Cleric's Sneakthief Mask of the Pack,Armor,Exotic,280,116,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,66,Helm,Medium
Cleric's Seer Coat of the Afflicted,Armor,Exotic,366,117,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,74,Coat,Light
Mhenlo's Coat,Armor,Exotic,396,118,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,80,Coat,Light
Berserker's Sneakthief Coat of Vampirism,Armor,Exotic,384,119,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,78,Coat,Medium
Strong Worn Chain Greaves,Armor,Fine,24,120,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,21,Boots,Heavy
Cleric's Sneakthief Mask of Rage,Armor,Exotic,305,121,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,74,Helm,Medium
Zho's Mask,Armor,Exotic,330,123,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,80,Helm,Medium
Nika's Coat,Armor,Exotic,396,125,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,80,Coat,Medium
Strong Worn Chain Greaves,Armor,Fine,28,126,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,26,Boots,Heavy
Berserker's Seer Coat of Rata Sum,Armor,Exotic,378,128,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,76,Coat,Light
Strong Worn Scale Boots,Armor,Fine,31,129,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,31,Boots,Heavy
Khilbron's Coat,Armor,Exotic,396,131,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,80,Coat,Light
Mighty Country Coat,Armor,Fine,17,132,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,6,Coat,Light
Berserker's Sneakthief Mask of the Flame Legion,Armor,Exotic,315,133,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,76,Helm,Medium
Strong Worn Scale Boots,Armor,Fine,35,134,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,36,Boots,Heavy
Mighty Country Coat,Armor,Fine,24,135,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,11,Coat,Light
Vatlaaw's Mask,Armor,Exotic,330,136,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,80,Helm,Medium
Mighty Country Coat,Armor,Fine,30,137,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,16,Coat,Light
Mighty Swindler Mask,Armor,Fine,20,138,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,11,Helm,Medium
Carrion Sneakthief Coat of Mercy,Armor,Exotic,324,139,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,63,Coat,Medium
Strong Worn Scale Boots,Armor,Fine,38,140,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,41,Boots,Heavy
Mighty Swindler Mask,Armor,Fine,25,141,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,16,Helm,Medium
Precise Country Coat,Armor,Fine,18,142,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,7,Coat,Light
Carrion Sneakthief Coat of the Dolyak,Armor,Exotic,354,143,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,71,Coat,Medium
Precise Country Coat,Armor,Fine,26,144,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,12,Coat,Light
Precise Swindler Mask,Armor,Fine,22,145,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,12,Helm,Medium
Precise Country Coat,Armor,Fine,32,146,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,17,Coat,Light
Precise Swindler Mask,Armor,Fine,27,147,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,17,Helm,Medium
Mighty Worn Chain Greaves,Armor,Basic,4,148,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,0,Boots,Heavy
Vital Country Coat,Armor,Fine,20,149,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,8,Coat,Light
Vital Country Coat,Armor,Fine,27,150,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,13,Coat,Light
Carrion Sneakthief Coat of Hoelbrak,Armor,Exotic,390,151,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,79,Coat,Medium
Precise Worn Chain Greaves,Armor,Fine,12,152,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,7,Boots,Heavy
Vital Swindler Mask,Armor,Fine,23,153,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,13,Helm,Medium
Vital Country Coat,Armor,Fine,33,154,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,18,Coat,Light
Shiro's Coat,Armor,Exotic,396,155,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,80,Coat,Medium
Vital Swindler Mask,Armor,Fine,28,156,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,18,Helm,Medium
Malign Country Coat,Armor,Fine,21,157,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,9,Coat,Light
Precise Worn Chain Greaves,Armor,Fine,17,158,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,12,Boots,Heavy
Malign Swindler Mask,Armor,Fine,24,159,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,14,Helm,Medium
Malign Swindler Mask,Armor,Fine,29,160,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,19,Helm,Medium
Malign Country Coat,Armor,Fine,29,161,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,14,Coat,Light
Berserker's Sneakthief Sandals of the Dolyak,Armor,Exotic,212,162,https://render.guildwars2.com/file/B7D77D6B1735D07F4AB93DE2DED06A1FEBB7F3EE/561550.png,62,Boots,Medium
Malign Country Coat,Armor,Fine,35,163,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,19,Coat,Light
Precise Worn Chain Greaves,Armor,Fine,21,164,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,17,Boots,Heavy
Strong Country Coat,Armor,Fine,36,165,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,21,Coat,Light
Strong Swindler Mask,Armor,Fine,30,166,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,21,Helm,Medium
Ravaging Worn Chain Greaves,Armor,Fine,25,167,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,22,Boots,Heavy
Rampager's Sneakthief Coat of the Pack,Armor,Exotic,324,168,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,64,Coat,Medium
Strong Swindler Mask,Armor,Fine,35,169,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,26,Helm,Medium
Strong Country Coat,Armor,Fine,42,170,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,26,Coat,Light
Berserker's Sneakthief Sandals of Dwayna,Armor,Exotic,236,171,https://render.guildwars2.com/file/B7D77D6B1735D07F4AB93DE2DED06A1FEBB7F3EE/561550.png,70,Boots,Medium
Strong Magician Coat,Armor,Fine,47,172,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,31,Coat,Light
Strong Swindler Mask,Armor,Fine,39,173,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,31,Helm,Medium
Strong Magician Coat,Armor,Fine,53,174,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,36,Coat,Light
Ravaging Worn Chain Greaves,Armor,Fine,28,175,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,27,Boots,Heavy
Strong Swindler Mask,Armor,Fine,44,176,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,36,Helm,Medium
Ravaging Country Coat,Armor,Fine,38,177,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,22,Coat,Light
Rampager's Sneakthief Coat of Vampirism,Armor,Exotic,360,178,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,72,Coat,Medium
Ravaging Swindler Mask,Armor,Fine,32,179,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,22,Helm,Medium
Ravaging Country Coat,Armor,Fine,42,180,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,27,Coat,Light
Ravaging Worn Scale Boots,Armor,Fine,32,181,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,32,Boots,Heavy
Ravaging Swindler Mask,Armor,Fine,35,182,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,27,Helm,Medium
Aidan's Coat,Armor,Exotic,396,183,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,80,Coat,Medium
Ravaging Magician Coat,Armor,Fine,48,184,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,32,Coat,Light
Ravaging Swindler Mask,Armor,Fine,40,185,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,32,Helm,Medium
Ravaging Magician Coat,Armor,Fine,53,186,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,37,Coat,Light
Ravaging Worn Scale Boots,Armor,Fine,35,187,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,37,Boots,Heavy
Berserker's Sneakthief Sandals of the Citadel,Armor,Exotic,256,188,https://render.guildwars2.com/file/B7D77D6B1735D07F4AB93DE2DED06A1FEBB7F3EE/561550.png,78,Boots,Medium
Ravaging Swindler Mask,Armor,Fine,44,189,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,37,Helm,Medium
Honed Country Coat,Armor,Fine,39,190,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,23,Coat,Light
Shaman's Sneakthief Coat of the Centaur,Armor,Exotic,330,191,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,65,Coat,Medium
Honed Country Coat,Armor,Fine,44,192,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,28,Coat,Light
Ravaging Worn Scale Boots,Armor,Fine,39,193,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,42,Boots,Heavy
Honed Swindler Mask,Armor,Fine,33,194,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,23,Helm,Medium
Honed Magician Coat,Armor,Fine,50,195,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,33,Coat,Light
Shaman's Sneakthief Coat of the Centaur,Armor,Exotic,366,196,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,73,Coat,Medium
Honed Swindler Mask,Armor,Fine,37,197,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,28,Helm,Medium
Honed Magician Coat,Armor,Fine,54,198,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,38,Coat,Light
Ravaging Worn Scale Boots,Armor,Fine,42,199,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,47,Boots,Heavy
Honed Swindler Mask,Armor,Fine,42,200,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,33,Helm,Medium
Honed Swindler Mask,Armor,Fine,45,201,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,38,Helm,Medium
Ravaging Country Coat,Armor,Fine,39,202,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,24,Coat,Light
Reyna's Coat,Armor,Exotic,396,203,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,80,Coat,Medium
Ravaging Country Coat,Armor,Fine,45,204,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,29,Coat,Light
Ravaging Swindler Mask,Armor,Fine,33,205,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,24,Helm,Medium
Ravaging Worn Scale Boots,Armor,Fine,46,206,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,52,Boots,Heavy
Ravaging Magician Coat,Armor,Fine,50,207,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,34,Coat,Light
Nika's Boots,Armor,Exotic,264,208,https://render.guildwars2.com/file/B7D77D6B1735D07F4AB93DE2DED06A1FEBB7F3EE/561550.png,80,Boots,Medium
Ravaging Worn Scale Boots,Armor,Fine,49,209,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,57,Boots,Heavy
Cleric's Sneakthief Coat of the Flame Legion,Armor,Exotic,336,210,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,66,Coat,Medium
Ravaging Magician Coat,Armor,Fine,56,211,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,39,Coat,Light
Ravaging Swindler Mask,Armor,Fine,38,212,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,29,Helm,Medium
Strong Magician Coat,Armor,Fine,57,213,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,41,Coat,Light
Ravaging Swindler Mask,Armor,Fine,42,214,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,34,Helm,Medium
Carrion Reinforced Scale Boots,Armor,Fine,53,215,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,62,Boots,Heavy
Cleric's Sneakthief Coat of Vampirism,Armor,Exotic,366,216,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,74,Coat,Medium
Strong Magician Coat,Armor,Fine,63,217,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,46,Coat,Light
Ravaging Swindler Mask,Armor,Fine,47,218,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,39,Helm,Medium
Strong Magician Coat,Armor,Fine,68,219,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,51,Coat,Light
Strong Swindler Mask,Armor,Fine,48,220,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,41,Helm,Medium
Strong Magician Coat,Armor,Fine,74,221,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,56,Coat,Light
Carrion Reinforced Scale Boots,Armor,Fine,56,222,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,67,Boots,Heavy
Zho's Coat,Armor,Exotic,396,223,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,80,Coat,Medium
Strong Swindler Mask,Armor,Fine,53,224,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,46,Helm,Medium
Ravaging Magician Coat,Armor,Fine,59,225,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,42,Coat,Light
Ravaging Magician Coat,Armor,Fine,63,226,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,47,Coat,Light
Carrion Sneakthief Sandals of the Traveler,Armor,Exotic,216,227,https://render.guildwars2.com/file/B7D77D6B1735D07F4AB93DE2DED06A1FEBB7F3EE/561550.png,63,Boots,Medium
Strong Swindler Mask,Armor,Fine,57,228,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,51,Helm,Medium
Ravaging Magician Coat,Armor,Fine,69,229,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,52,Coat,Light
Carrion Reinforced Scale Boots,Armor,Fine,60,230,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,72,Boots,Heavy
Strong Swindler Mask,Armor,Fine,62,231,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,56,Helm,Medium
Ravaging Swindler Mask,Armor,Fine,49,232,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,42,Helm,Medium
Ravaging Magician Coat,Armor,Fine,74,233,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,57,Coat,Light
Honed Magician Coat,Armor,Fine,60,234,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,43,Coat,Light
Ravaging Swindler Mask,Armor,Fine,53,236,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,47,Helm,Medium
Carrion Reinforced Scale Boots,Armor,Fine,63,237,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,77,Boots,Heavy
Honed Magician Coat,Armor,Fine,65,239,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png,48,Coat,Light
