type,rarity,vendor_value,id,icon,level,item_type,item_weight_class,quantity_rel,quantity_buys,unit_price_gold_buys,estimation_window_buys,quantity_sells,unit_price_gold_sells,estimation_window_sells,name,unit_price_gold_diff,profit,more_sells,.pred
Consumable,Rare,5,86022,https://render.guildwars2.com/file/FFE3A6302A0409148059239E05C9064D5DAF1E04/561734.png,0,Unlock,NA,2.461608749935998e-7,1,2.3875,100000000,1,3.1801,50000000,Mesa Dye,0.7925999999999997,0.31558499999999956,0,6.044089332399396
CraftingMaterial,Basic,8,75606,https://render.guildwars2.com/file/03E3FF096D3E7A0B02ED459DED2D07DA184E4C67/1201804.png,0,NA,NA,2.461608749935998e-7,1,1.311,100000000,65,1.9077,50000000,Oiled Orichalcum Boot Casing,0.5967,0.31054500000000007,64,0.898813520265146
Container,Basic,0,76998,https://render.guildwars2.com/file/CE03DDB7A10DE1AAC01606580171BB70040480BD/1202989.png,0,Default,NA,4.923217499871996e-7,2,0.7888,100000000,2,1.29,50000000,Deciphered Clues,0.5012000000000001,0.3077000000000001,0,1.0345316638301798
Container,Fine,8,8957,https://render.guildwars2.com/file/A556C608FA19D4BF435608EC5A7607561C9F7C02/63185.png,0,Default,NA,2.461608749935998e-7,1,0.1218,100000000,12,0.5,50000000,Box of Simple Mighty Chain Armor,0.3782,0.30319999999999997,11,1.159435023667609
CraftingMaterial,Basic,7,83931,https://render.guildwars2.com/file/E3A0AF110804C1953F1245AE2257E54FDFBB7A49/1201801.png,0,NA,NA,2.4616087499359982e-6,10,0.6472,100000000,2,1.1098,50000000,Warbeast Hardened Shoulderguard Padding,0.4625999999999999,0.2961299999999999,-8,0.6888416823828707
Consumable,Rare,5,79309,https://render.guildwars2.com/file/FFE3A6302A0409148059239E05C9064D5DAF1E04/561734.png,0,Unlock,NA,9.846434999743992e-7,4,1.1626,100000000,2,1.6926,50000000,Bloodstone Indigo,0.53,0.2761100000000001,-2,5.850839349647461
Consumable,Fine,12,71928,https://render.guildwars2.com/file/9031FCDE2A1C01FC087E72FEF60B4C0690A3AAB0/1201546.png,0.1875,Utility,NA,2.461608749935998e-7,1,0.4714,100000000,2,0.879,50000000,Writ of Basic Speed,0.4076,0.27575,1,0.9460313764482975
Consumable,Rare,0,92641,https://render.guildwars2.com/file/DDDD57015C1D2A9BD079D8690D4312DB48603EE0/2242844.png,0,Transmutation,NA,2.461608749935998e-7,1,8.1035,100000000,4,9.85,50000000,Draconic Rifle Skin,1.7464999999999993,0.26899999999999835,3,9.610190840658046
Consumable,Fine,23,72572,https://render.guildwars2.com/file/1CC57807AA08CC0CCFBF70B4B8D39A7EC9A577B1/1201886.png,0.5625,Utility,NA,2.461608749935998e-7,1,0.0993,100000000,1,0.4326,50000000,Writ of Calculated Malice,0.3333,0.26841,0,0.804125272181233
MiniPet,Exotic,0,81980,https://render.guildwars2.com/file/1D6CE8D00DDC054349B6595AEBD52FCD467FF948/1729379.png,0,NA,NA,2.4616087499359982e-6,10,3.129,100000000,2,3.9895,50000000,Mini GL-XC S7S,0.8605,0.26207499999999984,-8,3.352690009643608
CraftingMaterial,Exotic,0,83264,https://render.guildwars2.com/file/447507A83576091059A53471BCFA94565C9E45D9/1766405.png,0,NA,NA,4.923217499871996e-7,2,1.3356,100000000,2,1.8787,50000000,Insignia of the Spearmarshal,0.5431000000000001,0.26129500000000005,0,2.143467786891788
Consumable,Rare,5,49528,https://render.guildwars2.com/file/FFE3A6302A0409148059239E05C9064D5DAF1E04/561734.png,0,Unlock,NA,2.461608749935998e-7,1,5.0224,100000000,1,6.1998,50000000,Perseverance Dye,1.1773999999999996,0.2474299999999996,0,7.632246095816936
Gizmo,Masterwork,0,94045,https://render.guildwars2.com/file/A9C5C9AD4595ADE6270A5AFD72D4E653B8529548/2332434.png,0,Default,NA,2.4616087499359982e-6,10,0.3966,100000000,3,0.7574,50000000,Masterwork Black Lion Dye Canisterâ€”Yellow,0.36079999999999995,0.24718999999999997,-7,0.5789797498541321
Consumable,Rare,0,95570,https://render.guildwars2.com/file/2ECAFE33B3D3DB43C1016236C2C65DF102197A06/2571484.png,0,Transmutation,NA,2.461608749935998e-7,1,43.0005,100000000,1,50.8791,50000000,White Tiger Hammer Skin,7.878599999999999,0.24673499999999393,0,26.852680909280526
Consumable,Rare,0,88411,https://render.guildwars2.com/file/55310CE74A51580E0917B2A12F6160DFA894BAB6/2028888.png,0,Transmutation,NA,7.384826249807994e-7,3,33.3334,100000000,3,39.4995,50000000,Equinox Focus Skin,6.1661,0.24117499999999836,0,26.798675542613857
UpgradeComponent,Masterwork,5,24831,https://render.guildwars2.com/file/E45FAD920C2E2CFC6FB61463064AC403B732C919/221142.png,0,Rune,NA,4.923217499871996e-7,2,0.1062,100000000,2,0.3988,50000000,Minor Rune of the Brawler,0.29259999999999997,0.23278,0,0.2990351990260577
Consumable,Rare,0,95535,https://render.guildwars2.com/file/B2451C2602004B99380508127CC42F11D551C6ED/2571490.png,0,Transmutation,NA,2.461608749935998e-7,1,42.2733,100000000,1,50,50000000,White Tiger Shield Skin,7.726700000000001,0.226700000000001,0,26.852680909280526
UpgradeComponent,Masterwork,5,24834,https://render.guildwars2.com/file/62B3584D672417EB01DB4302E6767F04507B9390/221144.png,0,Rune,NA,7.384826249807994e-7,3,0.4004,100000000,6,0.7277,50000000,Minor Rune of the Scholar,0.32730000000000004,0.21814500000000003,3,0.3934504458914309
CraftingMaterial,Basic,3,13034,https://render.guildwars2.com/file/0EFDA21C1E80772FE0344CA54C294F03BA94FFA3/63522.png,0,NA,NA,6.154021874839995e-6,25,0.0073,100000000,1,0.2479,50000000,Wool Footwear Upper,0.2406,0.203415,-24,0.39441876165903844
UpgradeComponent,Masterwork,5,24801,https://render.guildwars2.com/file/66BDF9379C39466D2B9F4152FC401143C9CB804D/221123.png,0,Rune,NA,4.923217499871996e-7,2,0.377,100000000,4,0.6622,50000000,Minor Rune of the Mesmer,0.2852,0.18586999999999998,2,0.3699301228226478
Consumable,Fine,12,12218,https://render.guildwars2.com/file/6C1A097B067AF164AF5E05F20800665BC754CABA/63302.png,0.25,Food,NA,6.154021874839995e-5,250,0.03,100000000,2,0.2539,50000000,Cheese Pizza,0.22390000000000002,0.185815,-248,0.7043017800501017
Consumable,Rare,0,77684,https://render.guildwars2.com/file/09492402E20C2293BDAD0CFDD2EB1F922DF9EE3C/1341592.png,0,Unlock,NA,2.461608749935998e-7,1,0.9217,100000000,73,1.2989,50000000,Steampunk Tybalt,0.3772,0.1823649999999999,72,5.833485483844654
CraftingMaterial,Basic,4,12996,https://render.guildwars2.com/file/B2220E4D55E716CBC2B9D0B17EA84FD45341083F/63492.png,0,NA,NA,9.846434999743992e-7,4,0.0559,100000000,1,0.2799,50000000,Iron Spear Head,0.22399999999999998,0.18201499999999998,-3,0.4051791947367349
Trophy,Rare,0,75638,https://render.guildwars2.com/file/BDEAEB0F2A28614313386FD41E07F1D10E4B5775/455860.png,0,NA,NA,9.846434999743992e-7,4,0.1169,100000000,2,0.3499,50000000,Coastal Lumber Core,0.23299999999999998,0.18051499999999998,-2,1.9348026786768682
Consumable,Rare,5,48924,https://render.guildwars2.com/file/FFE3A6302A0409148059239E05C9064D5DAF1E04/561734.png,0,Unlock,NA,2.461608749935998e-7,1,1.7486,100000000,4,2.2487,50000000,Blacklight Dye,0.5001,0.16279500000000002,3,5.927909948853811
Weapon,Fine,8,24950,https://render.guildwars2.com/file/FA56C5DD5D7494F25D980E432BA129F44209ED0E/63136.png,0.0375,Torch,NA,4.923217499871996e-7,2,0.0012,100000000,1,0.1899,50000000,Half Eaten Torch,0.1887,0.160215,-1,0.2864056589875664
Consumable,Rare,5,95828,https://render.guildwars2.com/file/FFE3A6302A0409148059239E05C9064D5DAF1E04/561734.png,0,Unlock,NA,2.461608749935998e-7,1,50,100000000,2,59.0005,50000000,Benevolence Dye,9.000500000000002,0.15042499999999848,1,26.852680909280526
Weapon,Exotic,0,82528,https://render.guildwars2.com/file/267AB39E76164DB32296EFDE5FE7F6F93C49EAE2/1766694.png,1,Hammer,NA,2.4616087499359982e-6,10,0.4787,100000000,3,0.7289,50000000,Might of the Vindictive of Severance,0.2502,0.14086500000000002,-7,0.8792026508134211
Weapon,Exotic,0,83509,https://render.guildwars2.com/file/AE01100341DE7DB8EB64E3C946C6C92FD008BD59/1766086.png,1,LongBow,NA,2.4616087499359982e-6,10,2.0008,100000000,1,2.5093,50000000,Forged Bow,0.5085000000000002,0.13210500000000014,-9,1.7392942291967926
CraftingMaterial,Basic,3,13121,https://render.guildwars2.com/file/9BA2163570E4504918E79507375AEE3E40C2DA06/340097.png,0,NA,NA,1.9692869999487983e-6,8,0.0312,100000000,4,0.192,50000000,Iron Scale Legging Panel,0.1608,0.132,-4,0.39595123096611234
Gizmo,Basic,1,76483,https://render.guildwars2.com/file/AE01E2CC6B0E69457BB56334E5ECC30FC7FE21A5/1201510.png,0,Default,NA,1.230804374967999e-5,50,0.3218,100000000,26,0.5321,50000000,Guild Shield Generator Blueprint,0.21030000000000004,0.13048500000000002,-24,0.5255107776994516
Consumable,Fine,4,73595,https://render.guildwars2.com/file/AD27EA42ADD8A907F2FF6D2DA57F0EA722969509/1201926.png,0,Utility,NA,9.846434999743992e-7,4,0.0902,100000000,7,0.2563,50000000,Writ of Basic Accuracy,0.16609999999999997,0.12765499999999996,3,0.9867968744851595
CraftingMaterial,Basic,4,12850,https://render.guildwars2.com/file/D8BC642E4901B980082E576021BC21C7FBFD00F2/63408.png,0,NA,NA,9.846434999743993e-6,40,0.028,100000000,40,0.1795,50000000,Iron Axe Blade,0.1515,0.12457499999999999,0,0.3952815689026203
Consumable,Masterwork,0,36114,https://render.guildwars2.com/file/3313DA0547A14A1AC5BE4076FEFD275519E8DF0E/499418.png,0,Generic,NA,1.9692869999487986e-5,80,0.032,100000000,15,0.1776,50000000,Mummy Tonic,0.1456,0.11896000000000001,-65,0.8893489807258484
CraftingMaterial,Basic,8,12858,https://render.guildwars2.com/file/7F0EC84DF64A7939B40E1DCEDC5D06FFFD9FAC92/340020.png,0,NA,NA,2.461608749935998e-7,1,0.1124,100000000,7,0.2685,50000000,Orichalcum Dagger Blade,0.15610000000000002,0.11582500000000001,6,0.43123449085476373
CraftingMaterial,Basic,4,13056,https://render.guildwars2.com/file/F505CD9B1CF6FC977446E338A4A4E726E8026432/219575.png,0,NA,NA,1.1815721999692791e-5,48,0.012,100000000,1,0.1385,50000000,Soft Harpoon,0.1265,0.10572500000000001,-47,0.39466885728674406
Consumable,Fine,8,38308,https://render.guildwars2.com/file/E4179338BBF1CC90037F1ECBD8164859EBE1399B/526297.png,0.0625,Food,NA,7.384826249807994e-7,3,0.0897,100000000,5,0.2283,50000000,Bowl of Candy Corn Ice Cream,0.1386,0.104355,2,0.842786489284162
Trophy,Rare,0,74683,https://render.guildwars2.com/file/F60B1FF22407E9492849FE0C4C37E699E4CAB956/223531.png,0,NA,NA,4.923217499871996e-7,2,0.5002,100000000,1,0.7087,50000000,Lamp Finial,0.20850000000000002,0.10219500000000004,-1,2.0313450316988115
CraftingMaterial,Basic,8,13197,https://render.guildwars2.com/file/4A0A2E7A0A4508E2BEAA03C061420E27A599B404/219632.png,0,NA,NA,2.461608749935998e-7,1,0.2045,100000000,2,0.3592,50000000,Gossamer Gloves Panel,0.15470000000000003,0.10082000000000005,1,0.4448362316918709
CraftingMaterial,Basic,5,12919,https://render.guildwars2.com/file/DD6DE7677627FB2163C80467C31C9D185C6A07A8/63442.png,0,NA,NA,7.384826249807994e-7,3,0.0763,100000000,2,0.2063,50000000,Steel Rifle Barrel,0.13,0.099055,-1,0.4135921727997749
CraftingMaterial,Basic,6,13171,https://render.guildwars2.com/file/090D28355363B5D1F7CB6908BEE92ED9419D6B08/219610.png,0,NA,NA,4.430895749884797e-6,18,0.0777,100000000,16,0.2077,50000000,Linen Coat Panel,0.13,0.09884499999999997,-2,0.4139675849869831
CraftingMaterial,Basic,8,12846,https://render.guildwars2.com/file/C075571EC1D65BA9FDAB9BB340FB691898CC27B2/340016.png,0,NA,NA,2.707769624929598e-6,11,0.1448,100000000,11,0.284,50000000,Orichalcum Sword Hilt,0.13919999999999996,0.09659999999999996,0,0.43929501574728597
CraftingMaterial,Basic,8,71155,https://render.guildwars2.com/file/E7403E586B1998A6FB0BA54E92AB09D315CA4406/1202010.png,0,NA,NA,1.7231261249551988e-6,7,2.2,100000000,1,2.7,50000000,Oiled Hardened String,0.5,0.09499999999999975,-6,2.248306712635489
CraftingMaterial,Basic,3,13085,https://render.guildwars2.com/file/9B98C59939A953300E9F720366E73A465B4F0618/223022.png,0,NA,NA,3.1508591999180773e-5,128,0.0422,100000000,2,0.1593,50000000,Thin Legging Panel,0.1171,0.093205,-126,0.39765121586376345
Consumable,Rare,5,94370,https://render.guildwars2.com/file/FFE3A6302A0409148059239E05C9064D5DAF1E04/561734.png,0,Unlock,NA,2.461608749935998e-7,1,8.0099,100000000,1,9.5243,50000000,Quartz Dye,1.5144000000000002,0.08575500000000069,0,9.610190840658046
CraftingMaterial,Fine,6,62956,https://render.guildwars2.com/file/13DC57BEDE723D3C1B3ABA6CC84701370FA84633/866743.png,0,NA,NA,7.384826249807994e-7,3,0.0555,100000000,1,0.1629,50000000,Sturdy Leatherworker's Tools,0.1074,0.08296499999999998,-2,0.5471436089362005
CraftingMaterial,Basic,8,13169,https://render.guildwars2.com/file/4DCA565B7430F0B226B0AD659D1AB1E0522B6702/219608.png,0,NA,NA,4.923217499871996e-7,2,0.1901,100000000,3,0.3191,50000000,Orichalcum Legging Panel,0.129,0.08113500000000001,1,0.4395247127247296
Consumable,Masterwork,0,91842,https://render.guildwars2.com/file/D4276027EE4A9C47F418373965493D2BF2C3F81E/2191051.png,1,Food,NA,8.369469749782395e-6,34,0.4029,100000000,3,0.568,50000000,Plate of Eggs Benedict,0.16509999999999997,0.07989999999999997,-31,0.9543259693629869
CraftingMaterial,Basic,5,12877,https://render.guildwars2.com/file/0392542240E76665FD0D78BB0C71F1BEE8B4A470/63420.png,0,NA,NA,7.384826249807994e-7,3,0.0609,100000000,8,0.1597,50000000,Steel Mace Head,0.0988,0.074845,5,0.4038200371609774
Trophy,Rare,0,76541,https://render.guildwars2.com/file/CE71F8A2FF007163F898B8D82055A16E100209A8/1201970.png,0,NA,NA,9.846434999743992e-7,4,1.2069,100000000,27,1.5073,50000000,Visage of Dwayna,0.3004,0.07430499999999984,23,2.2737340455244324
CraftingMaterial,Basic,6,12933,https://render.guildwars2.com/file/3B40BFADB5C97C650BFE15B6E70590444BCC0748/340043.png,0,NA,NA,2.461608749935998e-7,1,0.0278,100000000,6,0.12,50000000,Darksteel Horn,0.0922,0.07419999999999999,5,0.39515272001373136
Gizmo,Exotic,0,36106,https://render.guildwars2.com/file/3313DA0547A14A1AC5BE4076FEFD275519E8DF0E/499418.png,0,Default,NA,2.44191587993651e-4,992,0.016,100000000,330,0.1055,50000000,Endless Halloween Tonic,0.0895,0.07367499999999999,-662,0.8488571253155964
CraftingMaterial,Basic,6,13209,https://render.guildwars2.com/file/A4BAAB5F742B0D6E77A65BE8EFC006D7F0FD0BF5/219642.png,0,NA,NA,2.461608749935998e-7,1,0.0453,100000000,8,0.1397,50000000,Rugged Boot Upper,0.09439999999999998,0.07344499999999998,7,0.39800326481113196
CraftingMaterial,Basic,0,12971,https://render.guildwars2.com/file/BBAC071EDC27462AA33B62AAD1BD4141675F2A79/63474.png,0,NA,NA,2.461608749935998e-5,100,0.0033,100000000,1,0.0898,50000000,Green Staff Shaft,0.08650000000000001,0.07303000000000001,-99,0.39451194386683064
Gizmo,Basic,1,74677,https://render.guildwars2.com/file/CC3A6023CBFDD7386CA12D6E08A63E55E6E34875/1201508.png,0,Default,NA,9.846434999743992e-7,4,0.2111,100000000,43,0.3342,50000000,Guild Flame Ram Blueprint,0.12309999999999999,0.07296999999999998,39,0.49780394039336157
Armor,Fine,7,4908,https://render.guildwars2.com/file/6A921C0335490C406B28FBA52C3ECE4862B94F2E/61246.png,0,Gloves,Light,6.129405787340636e-5,249,0.0024,100000000,1,0.0882,50000000,Darkvine Cloth Gloves,0.0858,0.07257,-248,0.5603992051297052
CraftingMaterial,Basic,4,12884,https://render.guildwars2.com/file/F02E17B793954195EE41A2515F7F4E7A0F3FD0E1/219526.png,0,NA,NA,8.861791499769594e-6,36,0.0085,100000000,48,0.0929,50000000,Bronze Greatsword Hilt,0.0844,0.070465,12,0.39450121165903845
CraftingMaterial,Basic,2,62967,https://render.guildwars2.com/file/ACF90EDAA3767B9C363B92310D2BEE48DC04FC70/866732.png,0,NA,NA,6.154021874839995e-5,250,0.0022,100000000,1,0.0765,50000000,Simple Huntsman's Tools,0.0743,0.062825,-249,0.39498793235167917
CraftingMaterial,Basic,5,12859,https://render.guildwars2.com/file/0C03A8DDC52279EF2F7A0214AE067B0CFA4C1178/63412.png,0,NA,NA,9.846434999743992e-7,4,0.0822,100000000,46,0.1698,50000000,Steel Dagger Blade,0.08760000000000001,0.06213000000000002,42,0.41363815740077625
CraftingMaterial,Basic,4,12854,https://render.guildwars2.com/file/7DC9DC7A21803D19CD9FF87561CC983FF608C71C/63410.png,0,NA,NA,2.4616087499359982e-6,10,0.0227,100000000,8,0.0986,50000000,Bronze Dagger Blade,0.0759,0.06111,-2,0.3951003200137314
Consumable,Rare,5,48927,https://render.guildwars2.com/file/FFE3A6302A0409148059239E05C9064D5DAF1E04/561734.png,0,Unlock,NA,2.461608749935998e-7,1,1.2185,100000000,1,1.5,50000000,Limonite Dye,0.2815000000000001,0.056499999999999995,0,5.863151973002439
Consumable,Masterwork,0,68625,https://render.guildwars2.com/file/3977630B7C0CE9EBA563177AD39A911893047DE7/947643.png,0,Generic,NA,7.877147999795193e-6,32,0.0736,100000000,358,0.1512,50000000,Lunar New Year Firework,0.0776,0.05492,326,0.913078873635912
CraftingMaterial,Basic,4,12862,https://render.guildwars2.com/file/EB1C07BCE542B95CD6A2CB4E4D06AF5EA0E678DD/63414.png,0,NA,NA,4.923217499871996e-7,2,0.0913,100000000,6,0.1713,50000000,Iron Hammer Head,0.08,0.054305000000000006,4,0.4216006492266894
CraftingMaterial,Basic,5,12895,https://render.guildwars2.com/file/63B592CA25F6274C03DC6A09B345576248A380D7/340031.png,0,NA,NA,4.9232174998719965e-6,20,0.0107,100000000,8,0.074,50000000,Small Hard Haft,0.0633,0.052199999999999996,-12,0.39472430395341074
CraftingMaterial,Basic,5,13005,https://render.guildwars2.com/file/A5B9B54CDD4E0CB543B74DC2313F655269E50693/63495.png,0,NA,NA,1.9692869999487983e-6,8,0.0024,100000000,8,0.0621,50000000,Steel Trident Head,0.0597,0.050385,0,0.39498793235167917
CraftingMaterial,Basic,0,12978,https://render.guildwars2.com/file/F4F425E82FB947C85746C222A7550FA22A02F054/63476.png,0,NA,NA,1.230804374967999e-5,50,0.002,100000000,12,0.0598,50000000,Green Scepter Rod,0.0578,0.04883,-38,0.39498793235167917
